,0,1,2,3
0,1000_10.mat,-100.0,-60.0,155
1,1000_20.mat,-30.0,30.0,297
2,1000_25.mat,60.0,-40.0,461
3,1000_40.mat,110.0,40.0,564
4,1001_11.mat,-100.0,-50.0,156
5,1001_13.mat,110.0,30.0,563
6,1003_17.mat,170.0,-0.0,674
7,1005_15.mat,80.0,-70.0,496
8,1007_19.mat,140.0,-0.0,617
9,1008_12.mat,-160.0,20.0,49
10,1008_14.mat,140.0,30.0,620
11,1008_16.mat,110.0,-50.0,555
12,1008_18.mat,40.0,-20.0,425
13,1008_21.mat,130.0,0.0,598
14,1008_24.mat,-70.0,-30.0,215
15,1008_28.mat,-110.0,40.0,146
16,1008_36.mat,-40.0,-70.0,268
17,100_1.mat,10.0,80.0,378
18,100_10.mat,-100.0,-60.0,155
19,100_2.mat,-90.0,-20.0,178
20,100_20.mat,-60.0,50.0,242
21,100_25.mat,70.0,20.0,486
22,100_4.mat,170.0,-60.0,668
23,100_5.mat,50.0,10.0,447
24,1012_11.mat,90.0,10.0,523
25,1012_22.mat,70.0,10.0,485
26,1012_23.mat,-120.0,-30.0,120
27,1014_13.mat,-20.0,60.0,319
28,1014_26.mat,120.0,10.0,580
29,1014_39.mat,-70.0,-60.0,212
30,1015_29.mat,80.0,-60.0,497
31,1015_35.mat,60.0,30.0,468
32,1020_12.mat,-130.0,-30.0,101
33,1020_15.mat,60.0,10.0,466
34,1020_17.mat,10.0,70.0,377
35,1020_20.mat,-120.0,-50.0,118
36,1020_30.mat,90.0,20.0,524
37,1020_34.mat,110.0,70.0,567
38,1022_14.mat,-120.0,-50.0,118
39,1023_11.mat,70.0,60.0,490
40,1023_31.mat,-70.0,-60.0,212
41,1023_33.mat,80.0,60.0,509
42,1024_16.mat,-40.0,-40.0,271
43,1024_32.mat,-160.0,50.0,52
44,1025_25.mat,-50.0,10.0,257
45,1026_18.mat,-110.0,-20.0,140
46,1026_19.mat,-140.0,-0.0,85
47,1026_27.mat,120.0,-10.0,578
48,1026_38.mat,140.0,60.0,623
49,1027_13.mat,-50.0,30.0,259
50,1029_21.mat,0.0,-40.0,347
51,102_17.mat,-100.0,20.0,163
52,102_2.mat,-100.0,-0.0,161
53,102_3.mat,80.0,80.0,511
54,102_34.mat,-80.0,80.0,207
55,102_6.mat,40.0,-50.0,422
56,1032_12.mat,-120.0,-60.0,117
57,1032_24.mat,110.0,-40.0,556
58,1034_11.mat,-80.0,20.0,201
59,1034_22.mat,70.0,70.0,491
60,1035_15.mat,-40.0,-50.0,270
61,1035_23.mat,100.0,-20.0,539
62,1036_14.mat,160.0,-70.0,648
63,1036_28.mat,70.0,80.0,492
64,1036_37.mat,-70.0,-60.0,212
65,1037_17.mat,-70.0,50.0,223
66,1040_13.mat,-130.0,-30.0,101
67,1040_16.mat,-50.0,-40.0,252
68,1040_20.mat,50.0,50.0,451
69,1040_26.mat,170.0,80.0,682
70,1040_40.mat,130.0,50.0,603
71,1044_12.mat,80.0,-30.0,500
72,1044_18.mat,-70.0,40.0,222
73,1044_29.mat,-60.0,50.0,242
74,1044_36.mat,160.0,30.0,658
75,1045_11.mat,-100.0,-10.0,160
76,1045_19.mat,-80.0,-40.0,195
77,104_13.mat,-20.0,20.0,315
78,104_2.mat,90.0,40.0,526
79,104_26.mat,110.0,20.0,562
80,104_4.mat,-40.0,60.0,281
81,104_8.mat,-70.0,40.0,222
82,1050_14.mat,140.0,40.0,621
83,1050_15.mat,-90.0,60.0,186
84,1050_21.mat,40.0,-80.0,419
85,1050_25.mat,70.0,20.0,486
86,1050_30.mat,-120.0,30.0,126
87,1050_35.mat,-150.0,60.0,72
88,1053_13.mat,-150.0,-40.0,62
89,1053_27.mat,-90.0,10.0,181
90,1053_39.mat,-140.0,-50.0,80
91,1054_17.mat,80.0,30.0,506
92,1054_31.mat,60.0,-30.0,462
93,1054_34.mat,160.0,-50.0,650
94,1056_11.mat,-100.0,80.0,169
95,1056_12.mat,-90.0,-30.0,177
96,1056_16.mat,60.0,-10.0,464
97,1056_22.mat,-70.0,-10.0,217
98,1056_24.mat,-60.0,-30.0,234
99,1056_32.mat,20.0,70.0,396
100,1056_33.mat,110.0,-50.0,555
101,1058_23.mat,150.0,30.0,639
102,105_15.mat,-110.0,-90.0,133
103,105_21.mat,120.0,-0.0,579
104,105_3.mat,-140.0,-60.0,79
105,105_35.mat,70.0,-40.0,480
106,105_5.mat,30.0,10.0,409
107,105_7.mat,90.0,40.0,526
108,1060_20.mat,100.0,60.0,547
109,1062_18.mat,-60.0,-50.0,232
110,1064_14.mat,100.0,40.0,545
111,1064_19.mat,80.0,-30.0,500
112,1064_28.mat,-90.0,-30.0,177
113,1064_38.mat,130.0,-70.0,591
114,1065_15.mat,-30.0,60.0,300
115,1066_13.mat,-100.0,-20.0,159
116,1066_26.mat,-120.0,40.0,127
117,1067_11.mat,-150.0,80.0,74
118,1068_12.mat,150.0,-10.0,635
119,106_2.mat,-80.0,-30.0,196
120,1071_17.mat,110.0,-40.0,556
121,1071_21.mat,80.0,-30.0,500
122,1072_16.mat,120.0,-40.0,575
123,1073_29.mat,80.0,70.0,510
124,1073_37.mat,80.0,-40.0,499
125,1075_25.mat,70.0,-50.0,479
126,1078_11.mat,-60.0,-30.0,234
127,1078_14.mat,150.0,30.0,639
128,1078_22.mat,-90.0,20.0,182
129,1079_13.mat,140.0,-60.0,611
130,1080_12.mat,-80.0,40.0,203
131,1080_15.mat,0.0,30.0,354
132,1080_18.mat,-50.0,-50.0,251
133,1080_20.mat,160.0,70.0,662
134,1080_24.mat,150.0,-60.0,630
135,1080_27.mat,130.0,-70.0,591
136,1080_30.mat,80.0,20.0,505
137,1080_36.mat,50.0,0.0,446
138,1080_40.mat,-80.0,-40.0,195
139,1081_23.mat,80.0,-70.0,496
140,1083_19.mat,110.0,-10.0,559
141,1085_31.mat,-50.0,70.0,263
142,1085_35.mat,160.0,20.0,657
143,1088_16.mat,-100.0,-30.0,158
